id,Namn,Klubb,Position,Pris
273.0,Gustav Henriksson,IF Elfsborg,Försvarare,5.5
274.0,Viktor Widell,IF Elfsborg,Försvarare,4.0
275.0,Kevin Holmén,IF Elfsborg,Mittfältare,4.5
276.0,Michael Baidoo,IF Elfsborg,Mittfältare,5.5
277.0,Prince Isaac Kouame,IF Elfsborg,Mittfältare,4.5
278.0,Besfort Zeneli,IF Elfsborg,Mittfältare,4.5
279.0,Oscar Aga,IF Elfsborg,Anfallare,6.0
280.0,Jonathan Rasheed,BK Häcken,Målvakt,4.0
281.0,Even Hovland,BK Häcken,Försvarare,5.5
282.0,Tomas Totland,BK Häcken,Försvarare,6.0
283.0,Oscar Uddenäs,BK Häcken,Mittfältare,6.5
284.0,Ture Widestrand,BK Häcken,Mittfältare,4.5
285.0,Amane Romeo,BK Häcken,Mittfältare,4.5
286.0,Mikkel Rygaard,BK Häcken,Mittfältare,7.0
287.0,Ibrahim Sadiq,BK Häcken,Mittfältare,5.5
288.0,Leonardo Farah Shahin,BK Häcken,Anfallare,4.5
289.0,Linus Tagesson,Djurgården,Försvarare,4.0
290.0,Frank Odhiambo,Djurgården,Försvarare,4.5
291.0,Pierre Bengtsson,Djurgården,Försvarare,7.0
292.0,Melker Jonsson,Djurgården,Försvarare,4.0
293.0,Axel Wallenborg,Djurgården,Försvarare,4.0
294.0,Gustav Wikheim,Djurgården,Mittfältare,8.0
295.0,Sead Haksabanovic,Djurgården,Mittfältare,12.0
296.0,Adam Bergmark Wiberg,Djurgården,Anfallare,5.0
297.0,Julius Lindgren,IFK Norrköping,Målvakt,4.0
298.0,Wille Jakobsson,IFK Norrköping,Målvakt,4.0
,Otto Lindell,IFK Norrköping,Målvakt,4.0
299.0,Daniel Eid,IFK Norrköping,Försvarare,5.5
300.0,Oliver Stefansson,IFK Norrköping,Försvarare,4.0
,Filip Dagerstål,IFK Norrköping,Försvarare,6.0
301.0,Eman Markovic,IFK Norrköping,Mittfältare,7.0
302.0,Ricardo Friedrich,Kalmar FF,Målvakt,5.0
303.0,Jakob Kindberg,Kalmar FF,Målvakt,4.0
304.0,David Kristjan Olafsson,Kalmar FF,Försvarare,5.0
305.0,Kevin Jensen,Kalmar FF,Mittfältare,5.5
306.0,Simon Skrabb,Kalmar FF,Mittfältare,7.0
307.0,Edvin Crona,Kalmar FF,Anfallare,4.5
308.0,Alex Mortensen,Kalmar FF,Anfallare,4.5
309.0,Josafat Mendes,AIK,Försvarare,6.0
310.0,Rasmus Bonde,AIK,Försvarare,4.0
311.0,Axel Björnström,AIK,Försvarare,6.5
312.0,Jesper Ceesay,AIK,Mittfältare,4.5
313.0,Amar Abdirahman Ahmed,AIK,Mittfältare,5.0
314.0,Henry Atola Meja,AIK,Anfallare,5.5
315.0,Fredrik Andersson,Varbergs BoIS,Målvakt,5.0
316.0,Viktor Dryselius,Varbergs BoIS,Målvakt,4.0
317.0,David Bendrik,Varbergs BoIS,Försvarare,4.0
318.0,Gustav Bendrik,Varbergs BoIS,Försvarare,4.0
319.0,Noah Johansson,Varbergs BoIS,Försvarare,4.0
320.0,Flamur Dzelili,Varbergs BoIS,Mittfältare,4.5
321.0,Ismet Lushaku,Varbergs BoIS,Mittfältare,4.5
322.0,Eliton Junior,Varbergs BoIS,Mittfältare,5.0
323.0,Joel Sundström,Varbergs BoIS,Mittfältare,4.5
324.0,Ali Bdeir,Varbergs BoIS,Anfallare,4.5
325.0,Noel Törnqvist,Mjällby AIF,Målvakt,4.0
326.0,Marc Tokich,Mjällby AIF,Försvarare,4.0
327.0,Ludwig Carlius,Mjällby AIF,Mittfältare,4.5
328.0,Silas Nwankwo,Mjällby AIF,Anfallare,5.0
329.0,Rasmus Wiedesheim-Paul,Mjällby AIF,Anfallare,6.5
330.0,Oscar Wallin,Degerfors IF,Försvarare,4.0
331.0,Joseph-Claude Gyau,Degerfors IF,Försvarare,5.0
332.0,Diego Campos,Degerfors IF,Mittfältare,6.0
333.0,Rasmus Örqvist,Degerfors IF,Mittfältare,4.5
334.0,Dijan Vukojevic,Degerfors IF,Anfallare,6.5
335.0,Andreas Andersson,GIF Sundsvall,Målvakt,4.0
336.0,Gustav Molin,GIF Sundsvall,Målvakt,4.0
337.0,Oscar Jonsson,GIF Sundsvall,Målvakt,4.0
338.0,Oscar Linnér,GIF Sundsvall,Målvakt,4.5
339.0,Rasmus Lindkvist,GIF Sundsvall,Försvarare,4.5
340.0,Forrest Lasso,GIF Sundsvall,Försvarare,4.5
341.0,Anton Eriksson,GIF Sundsvall,Försvarare,4.5
342.0,Alexander Blomqvist,GIF Sundsvall,Försvarare,5.0
343.0,Dennis Olsson,GIF Sundsvall,Försvarare,5.0
344.0,Robert Lundström,GIF Sundsvall,Försvarare,4.5
345.0,Teodor Stenshagen,GIF Sundsvall,Försvarare,4.0
346.0,Niklas Dahlström,GIF Sundsvall,Försvarare,4.5
347.0,Marcus Burman,GIF Sundsvall,Mittfältare,5.0
348.0,Daniel Stensson,GIF Sundsvall,Mittfältare,4.5
349.0,Erik Andersson,GIF Sundsvall,Mittfältare,5.5
350.0,Pontus Silfwer,GIF Sundsvall,Mittfältare,5.0
351.0,Paya Pichkah,GIF Sundsvall,Mittfältare,4.5
352.0,Jesper Carström,GIF Sundsvall,Mittfältare,4.5
353.0,Ludvig Nåvik,GIF Sundsvall,Mittfältare,4.5
354.0,Alexander Larsson,GIF Sundsvall,Anfallare,4.5
355.0,Linus Hallenius,GIF Sundsvall,Anfallare,7.0
356.0,Pontus Engblom,GIF Sundsvall,Anfallare,6.5
357.0,Johan Bengtsson,GIF Sundsvall,Anfallare,4.5
,Ronaldo Damus,GIF Sundsvall,Anfallare,5.0
358.0,Filip Eriksson,IFK Värnamo,Målvakt,4.0
359.0,Pilip Vaitsiakhovich,IFK Värnamo,Målvakt,4.5
360.0,Hampus Gustafsson,IFK Värnamo,Målvakt,4.0
361.0,Francis de Vries,IFK Värnamo,Försvarare,4.0
362.0,Victor Larsson,IFK Värnamo,Försvarare,4.0
363.0,Freddy Winsth,IFK Värnamo,Försvarare,5.0
364.0,Victor Eriksson,IFK Värnamo,Försvarare,4.5
365.0,Pontus Kindberg,IFK Värnamo,Försvarare,4.0
366.0,Robin Tihi,IFK Värnamo,Försvarare,4.5
367.0,Evaldo Netinho,IFK Värnamo,Försvarare,4.5
368.0,Hampus Nässtrom,IFK Värnamo,Försvarare,4.5
369.0,Felix Wennergrund,IFK Värnamo,Mittfältare,4.5
370.0,Charlie Vindehall,IFK Värnamo,Mittfältare,4.5
371.0,William Kenndal,IFK Värnamo,Mittfältare,4.5
372.0,Oscar Johansson,IFK Värnamo,Mittfältare,5.5
373.0,Erick Brendon,IFK Värnamo,Mittfältare,5.0
374.0,Jesper Dickman,IFK Värnamo,Mittfältare,5.0
375.0,Wenderson Oliveira,IFK Värnamo,Mittfältare,5.0
376.0,Haris Avdiu,IFK Värnamo,Mittfältare,5.0
377.0,Abdussalam Magashy,IFK Värnamo,Mittfältare,5.0
378.0,Nils Wallenberg,IFK Värnamo,Mittfältare,4.5
379.0,Johnbosco Samuel Kalu,IFK Värnamo,Mittfältare,4.5
380.0,Edvin Becirovic,IFK Värnamo,Anfallare,4.5
381.0,Victor Andersson,IFK Värnamo,Anfallare,4.5
382.0,Christian Moses,IFK Värnamo,Anfallare,5.0
383.0,Anders Lindegaard,Helsingborgs IF,Målvakt,4.5
384.0,Alexander Nilsson,Helsingborgs IF,Målvakt,4.0
385.0,Kalle Joelsson,Helsingborgs IF,Målvakt,4.5
386.0,Nils Arvidsson,Helsingborgs IF,Målvakt,4.0
387.0,Ravy Tsouka,Helsingborgs IF,Försvarare,4.0
388.0,Casper Widell,Helsingborgs IF,Försvarare,4.0
389.0,Viljormur Davidsen,Helsingborgs IF,Försvarare,4.5
390.0,Jakob Voelkerling Persson,Helsingborgs IF,Försvarare,4.0
391.0,Charlie Weberg,Helsingborgs IF,Försvarare,4.5
392.0,Ali Suljic,Helsingborgs IF,Försvarare,4.5
393.0,Emil Hellman,Helsingborgs IF,Försvarare,4.0
394.0,Victor Blixt,Helsingborgs IF,Försvarare,4.0
395.0,Brandur Hendriksson,Helsingborgs IF,Mittfältare,5.5
396.0,Andreas Landgren,Helsingborgs IF,Mittfältare,4.5
397.0,Viktor Lundberg,Helsingborgs IF,Mittfältare,5.0
398.0,Sumar Almadjed,Helsingborgs IF,Mittfältare,4.5
399.0,Adam Kaied,Helsingborgs IF,Mittfältare,5.0
400.0,Lucas Lingman,Helsingborgs IF,Mittfältare,6.0
401.0,Victor Göransson,Helsingborgs IF,Mittfältare,4.5
402.0,Benjamin Acquah,Helsingborgs IF,Mittfältare,4.5
403.0,Rasmus Jönsson,Helsingborgs IF,Mittfältare,5.5
404.0,Wilhelm Loeper,Helsingborgs IF,Mittfältare,6.5
405.0,Joseph Amoako,Helsingborgs IF,Mittfältare,5.0
406.0,Albert Ejupi,Helsingborgs IF,Mittfältare,4.5
407.0,Anthony Van den Hurk,Helsingborgs IF,Anfallare,7.0
408.0,Assad Al Hamlawi,Helsingborgs IF,Anfallare,4.5
409.0,Rasmus Karjalainen,Helsingborgs IF,Anfallare,5.0
410.0,Dennis Olsson,Helsingborgs IF,Anfallare,4.5
