id,Säsong,Totalpoäng,Spelade minuter,Gjorda mål,Assists,Hållna nollor,Insläppta mål,Räddade straffar,Missade straffar,Gula kort,Röda kort,Räddningar,Självmål,Offensiva bonuspoäng,Defensiva bonuspoäng
338,2019,139,2430,0,0,14,20,0,0,2,0,65,0,0,0
339,2020,8,409,0,0,0,12,0,0,1,0,0,0,0,2
342,2019,48,1774,0,0,2,33,0,0,3,0,0,0,0,0
343,2019,14,412,0,1,1,11,0,0,2,0,0,0,0,0
344,2020,31,527,0,0,2,10,0,0,0,0,0,0,4,2
345,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,2018,56,1297,1,2,1,24,0,0,1,0,0,0,0,0
351,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,2019,1,10,0,0,0,0,0,0,0,0,0,0,0,0
355,2020,8,163,0,0,0,4,0,0,1,0,0,0,1,0
365,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,2018,25,609,0,1,1,13,0,0,0,0,0,0,0,0
383,2020,47,950,1,0,3,13,0,0,1,0,29,0,0,8
384,2020,44,1299,0,0,1,25,0,0,0,0,40,0,1,11
385,2020,3,90,0,0,0,4,0,0,0,0,6,0,0,1
386,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,2020,47,1213,0,0,4,13,0,0,3,0,0,1,0,10
388,2020,16,378,0,0,1,7,0,0,0,0,0,0,0,4
390,2020,24,962,0,1,0,26,0,0,1,0,0,0,0,5
391,2019,30,855,0,0,1,15,0,0,1,0,0,0,0,0
392,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,2020,4,92,0,0,0,4,0,0,0,0,0,0,0,1
395,2020,78,1670,2,2,5,24,0,0,6,0,0,0,8,14
396,2020,19,340,0,1,1,7,0,0,0,0,0,0,1,2
397,2020,31,657,1,0,1,8,0,0,2,0,0,0,1,0
401,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,2020,54,1553,3,0,3,26,0,0,1,0,0,0,2,1
404,2019,54,1628,1,0,2,34,0,0,4,0,0,0,0,0
406,2021,61,1712,0,0,7,19,0,0,6,0,0,0,2,16
407,2020,108,2221,11,5,7,34,0,1,6,1,0,0,7,0
408,2020,20,269,1,1,0,7,0,0,1,0,0,0,2,0
409,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,45,911,3,1,3,14,0,1,3,0,0,0,3,3
1,2019,68,1648,1,4,2,29,0,0,2,0,0,0,0,0
2,2020,93,1760,0,7,5,22,0,0,5,0,0,0,10,10
3,2020,8,132,0,0,1,1,0,0,1,0,0,0,0,0
5,2020,134,2429,5,7,7,35,0,2,3,0,0,0,23,10
6,2020,46,945,0,1,4,12,0,0,2,0,0,0,3,10
7,2020,130,2012,9,12,2,36,0,0,3,0,0,0,10,2
8,2020,55,1070,0,0,6,9,0,0,4,1,0,0,0,17
9,2020,162,2534,3,11,6,37,0,0,2,0,0,1,31,15
11,2020,145,2438,5,7,11,28,0,1,8,0,0,0,22,21
12,2020,68,1949,0,0,4,29,0,0,4,0,0,0,1,16
13,2018,135,2162,0,1,16,12,0,0,6,0,0,0,0,0
14,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020,74,1659,0,4,6,20,0,0,4,0,0,0,6,1
16,2020,49,1378,1,1,2,25,0,0,4,0,0,0,5,7
17,2020,9,351,0,1,0,6,0,0,2,0,0,1,1,0
18,2020,66,1473,0,1,6,26,0,0,3,3,0,0,4,15
19,2020,128,2627,0,0,8,32,0,0,0,0,87,0,0,27
20,2020,133,2551,0,3,11,29,0,0,3,0,0,0,7,26
21,2020,145,2700,0,0,7,41,0,0,0,0,122,0,0,41
22,2020,152,1819,13,3,12,14,0,0,8,1,0,0,25,9
23,2020,33,623,3,0,2,7,0,0,1,0,0,0,3,1
24,2019,89,1692,8,6,8,16,0,0,3,0,0,0,0,0
27,2020,87,2124,0,4,8,30,0,0,5,0,0,0,2,6
28,2020,92,2331,0,1,8,32,0,0,7,0,0,0,0,21
29,2020,68,946,2,1,6,5,0,0,1,0,0,0,6,4
30,2020,113,1873,4,4,7,34,0,0,0,0,0,0,4,15
31,2020,102,2422,2,4,7,43,0,0,4,2,0,0,5,24
32,2020,65,1702,0,1,5,23,0,0,4,0,0,0,1,13
33,2020,126,2001,15,6,5,33,0,0,4,0,0,0,6,0
34,2020,43,757,1,5,0,20,0,0,1,1,0,0,2,0
35,2020,114,1690,7,8,8,17,0,1,5,0,0,0,7,6
36,2020,80,2400,1,1,4,44,0,0,6,0,0,2,1,23
37,2020,123,2277,10,7,7,31,0,0,7,0,0,0,9,8
38,2020,87,1396,4,1,6,19,0,0,2,0,0,0,0,11
39,2020,1,46,0,0,0,1,0,0,1,0,0,0,0,0
40,2020,116,1629,9,5,5,27,0,0,2,0,0,0,9,2
41,2020,62,1694,0,3,4,34,0,0,4,1,0,0,10,6
42,2020,80,2121,2,1,4,45,0,0,6,0,0,0,1,20
43,2020,28,356,2,1,1,6,0,0,1,0,0,0,0,0
44,2018,73,2013,1,2,0,50,0,0,3,0,0,0,0,0
45,2020,50,908,4,1,3,12,0,0,6,0,0,0,3,2
46,2020,94,1699,8,4,5,28,0,0,3,0,0,0,7,1
47,2020,144,2529,3,5,9,29,0,0,3,0,0,0,9,20
48,2019,88,1992,4,3,3,42,0,0,2,0,0,0,0,0
50,2020,61,1509,2,1,4,25,0,0,4,0,0,0,3,6
53,2020,50,705,2,2,3,7,0,0,3,0,0,0,5,4
55,2019,82,2461,2,2,3,47,0,0,6,1,0,1,0,0
56,2018,4,85,0,0,0,2,0,0,0,0,0,0,0,0
58,2020,67,1260,0,0,5,12,0,0,0,0,31,0,0,15
59,2020,134,2271,9,5,7,32,0,0,3,0,0,0,7,8
60,2020,123,1961,8,4,12,19,0,0,6,0,0,0,8,8
61,2020,89,2080,3,1,10,23,0,0,5,0,0,0,2,14
62,2020,89,2038,1,7,8,26,0,0,3,0,0,0,7,3
64,2020,27,939,0,0,1,25,0,0,1,0,0,0,0,2
65,2020,76,1389,0,4,5,21,0,0,0,0,0,0,15,8
66,2019,3,30,0,0,0,0,0,0,0,0,0,0,0,0
68,2020,108,2105,0,5,6,31,0,0,6,0,0,0,14,23
70,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2020,77,1938,0,2,5,29,0,0,3,0,0,0,2,13
73,2020,58,1019,0,0,6,10,0,0,2,0,30,0,0,11
74,2020,32,683,0,1,1,12,0,0,0,0,0,0,2,2
75,2020,28,473,1,3,2,7,0,0,0,0,0,0,3,0
76,2018,127,2290,4,4,7,30,0,0,6,0,0,1,0,0
77,2020,64,1330,3,1,3,24,0,1,5,0,0,0,9,5
79,2019,39,990,0,0,2,20,0,0,2,0,39,0,0,0
80,2020,39,612,0,3,1,17,0,0,1,0,0,0,2,0
82,2020,82,2295,0,1,5,38,0,0,1,0,0,1,2,22
83,2020,57,1353,0,1,5,21,0,0,1,0,0,0,3,4
85,2020,147,2453,12,4,6,40,0,0,4,0,0,0,13,5
86,2020,55,1635,1,0,5,23,0,0,8,0,0,0,1,12
87,2020,66,1268,1,0,6,15,0,0,6,0,0,0,0,17
89,2020,70,2010,0,4,8,35,0,0,4,0,0,0,2,1
90,2020,86,1397,5,6,4,19,0,0,1,0,0,0,3,0
91,2020,103,2449,3,0,4,49,0,0,3,1,0,0,1,36
92,2020,80,1440,0,0,8,12,0,0,1,0,38,0,0,14
93,2020,45,1190,0,0,3,19,0,0,4,1,0,0,4,12
94,2020,82,2235,0,2,4,39,0,0,9,0,0,0,10,19
95,2020,124,2272,4,5,10,26,0,0,4,0,0,0,14,14
98,2018,44,945,0,1,4,9,0,0,4,0,0,0,0,0
99,2018,33,722,0,1,1,23,0,0,1,0,0,0,0,0
101,2020,73,1723,4,0,3,32,0,0,3,0,0,0,5,6
102,2020,95,2367,1,0,5,40,0,0,4,0,0,0,0,32
103,2020,81,1556,1,5,7,20,0,0,2,0,0,0,7,7
104,2020,119,2306,6,3,4,41,0,0,8,0,0,1,16,15
105,2020,99,1671,9,3,9,21,0,0,1,0,0,0,5,2
106,2020,27,623,1,1,0,12,0,0,2,0,0,0,0,2
108,2020,112,2331,5,6,7,36,0,0,7,0,0,0,10,4
110,2020,63,1086,5,2,1,23,0,0,0,0,0,0,6,0
112,2020,56,2031,0,0,3,39,0,0,6,0,0,0,1,9
114,2020,56,2565,0,0,3,49,0,0,7,0,0,0,0,11
115,2020,46,573,2,0,1,7,0,0,0,0,0,0,0,9
116,2020,50,1551,0,0,2,30,0,0,4,0,0,0,2,13
117,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2020,20,857,1,0,0,18,0,0,1,2,0,0,0,6
120,2020,23,582,0,1,1,11,0,0,2,0,0,0,1,2
122,2020,32,493,1,2,0,11,0,0,2,0,0,0,1,0
124,2020,86,1979,2,2,2,33,0,0,2,0,0,0,12,13
125,2020,2,7,0,0,0,2,0,0,0,0,0,0,0,0
126,2020,64,1175,2,1,5,16,0,1,4,0,0,0,1,2
130,2020,98,2228,2,4,5,36,0,0,4,0,0,0,13,10
131,2020,34,973,0,1,1,19,0,0,1,0,0,0,0,3
134,2020,138,2273,18,3,7,40,0,0,0,0,0,0,3,0
136,2020,23,351,1,1,2,3,0,0,0,0,0,0,0,1
138,2020,33,663,0,1,3,10,0,0,0,0,0,0,3,1
139,2020,13,421,0,0,2,9,0,0,0,0,0,0,0,0
